scenario,time,visible_mempool_size,pending_transaction_count,confirmed_in_step,avg_confirmation_time_step,resource_cost,chain_length
low_load,139,0,1,0,,0.03,21
low_load,140,1,2,0,,0.62,21
low_load,141,3,0,0,,0.18,21
low_load,142,3,1,0,,0.46,21
low_load,143,4,2,0,,0.8,21
low_load,144,6,0,6,3.0,2.54,21
low_load,145,6,0,0,,0.36,21
low_load,146,0,0,0,,0.0,22
low_load,147,0,0,0,,0.0,22
low_load,148,0,0,0,,0.0,22
low_load,149,0,0,0,,0.0,22
low_load,150,0,2,0,,0.56,22
low_load,151,1,1,0,,0.09,22
low_load,152,2,2,2,2.0,1.74,22
low_load,153,4,1,0,,0.52,22
low_load,154,3,2,3,1.6666666666666667,2.08,23
low_load,155,1,4,0,,0.93,24
low_load,156,5,0,0,,0.3,24
low_load,157,5,1,0,,0.58,24
low_load,158,6,0,6,3.0,2.54,24
low_load,159,6,3,0,,1.2,24
low_load,160,2,1,0,,0.15,25
low_load,161,3,0,0,,0.18,25
low_load,162,3,0,0,,0.18,25
low_load,163,3,0,0,,0.18,25
low_load,164,3,1,0,,0.46,25
low_load,165,3,1,0,,0.21,25
low_load,166,4,0,0,,0.24,25
low_load,167,4,0,4,6.75,1.86,25
low_load,168,4,1,0,,0.52,25
low_load,169,1,1,0,,0.34,26
low_load,170,1,2,0,,0.37,26
low_load,171,3,3,3,2.0,2.36,26
low_load,172,4,3,0,,0.58,26
low_load,173,3,1,0,,0.21,27
low_load,174,4,0,0,,0.24,27
low_load,175,4,2,0,,0.8,27
low_load,176,5,3,5,4.0,2.79,27
low_load,177,1,2,0,,0.12,28
low_load,178,3,1,0,,0.46,28
low_load,179,3,3,0,,0.77,28
medium_load,0,0,3,0,,0.84,0
medium_load,1,1,7,0,,1.52,0
medium_load,2,6,2,0,,0.42,0
medium_load,3,8,3,8,2.375,4.06,0
medium_load,4,0,7,0,,1.21,1
medium_load,5,2,6,2,1.5,1.61,1
medium_load,6,4,6,0,,0.92,1
medium_load,7,6,4,0,,0.98,2
medium_load,8,7,5,0,,1.07,2
medium_load,9,9,7,0,,1.75,2
medium_load,10,12,6,0,,1.4,2
medium_load,11,16,4,0,,1.58,2
medium_load,12,19,6,0,,2.57,2
medium_load,13,20,6,12,7.5,5.49,2
medium_load,14,25,3,0,,2.09,2
medium_load,15,27,2,0,,1.93,2
medium_load,16,15,3,0,,1.24,3
medium_load,17,17,3,0,,1.61,3
medium_load,18,19,1,0,,1.17,3
medium_load,19,19,1,0,,1.17,3
medium_load,20,20,5,0,,2.6,3
medium_load,21,22,4,12,10.583333333333334,5.55,3
medium_load,22,14,1,0,,1.12,4
medium_load,23,14,3,0,,1.43,4
medium_load,24,17,1,0,,1.3,4
medium_load,25,17,3,0,,1.61,4
medium_load,26,19,2,12,9.5,5.31,4
medium_load,27,9,5,0,,1.94,5
medium_load,28,11,6,0,,1.59,5
medium_load,29,12,5,0,,0.87,5
medium_load,30,15,4,0,,1.52,5
medium_load,31,18,3,0,,1.67,5
medium_load,32,19,4,0,,1.76,5
medium_load,33,21,4,0,,1.88,5
medium_load,34,23,3,12,9.75,5.58,5
medium_load,35,25,3,0,,2.09,5
medium_load,36,27,3,0,,2.21,5
medium_load,37,17,2,0,,1.33,6
medium_load,38,18,4,0,,1.95,6
medium_load,39,18,5,0,,1.48,6
medium_load,40,22,3,12,10.333333333333334,5.77,6
medium_load,41,23,5,0,,2.28,6
medium_load,42,25,4,0,,1.87,6
medium_load,43,15,4,0,,1.52,7
medium_load,44,17,5,0,,1.92,7
medium_load,45,18,5,0,,1.48,7
medium_load,46,22,3,12,9.416666666666666,5.77,7
medium_load,47,11,5,0,,1.56,8
medium_load,48,15,1,0,,0.93,8
medium_load,49,16,0,12,6.166666666666667,4.82,8
medium_load,50,16,4,0,,2.08,8
medium_load,51,16,5,0,,1.36,8
medium_load,52,6,8,0,,1.85,9
medium_load,53,12,2,0,,0.78,9
medium_load,54,14,0,0,,0.84,9
medium_load,55,14,5,0,,2.24,9
medium_load,56,17,3,0,,1.36,9
medium_load,57,19,4,0,,2.01,9
medium_load,58,21,7,12,8.5,6.58,9
medium_load,59,22,6,0,,1.5,9
medium_load,60,14,4,0,,1.46,10
medium_load,61,17,2,0,,1.33,10
medium_load,62,18,4,12,6.666666666666667,5.81,10
medium_load,63,20,6,0,,2.38,10
medium_load,64,23,5,0,,2.03,10
medium_load,65,13,4,0,,1.15,11
medium_load,66,16,7,12,5.583333333333333,6.53,11
medium_load,67,7,4,0,,0.54,12
medium_load,68,10,3,0,,1.19,12
medium_load,69,11,5,0,,1.56,12
medium_load,70,12,5,0,,1.12,12
medium_load,71,15,3,0,,1.24,12
medium_load,72,17,1,0,,1.05,12
medium_load,73,18,2,12,7.666666666666667,5.5,12
medium_load,74,6,6,0,,1.54,13
medium_load,75,11,3,0,,1.25,13
medium_load,76,13,5,0,,1.93,13
medium_load,77,14,5,0,,1.24,13
medium_load,78,17,7,0,,2.48,13
medium_load,79,20,5,0,,1.6,13
medium_load,80,23,5,0,,2.28,13
medium_load,81,27,2,12,9.583333333333334,5.79,13
medium_load,82,16,2,0,,1.27,14
medium_load,83,17,2,0,,1.33,14
medium_load,84,18,3,0,,1.67,14
medium_load,85,19,3,12,8.25,5.34,14
medium_load,86,22,1,0,,1.6,14
medium_load,87,23,4,0,,2.5,14
medium_load,88,11,6,0,,1.34,15
medium_load,89,13,6,0,,1.46,15
medium_load,90,18,4,12,7.416666666666667,5.81,15
medium_load,91,19,6,0,,2.07,15
medium_load,92,11,3,0,,1.0,16
medium_load,93,13,5,0,,1.93,16
medium_load,94,13,6,0,,1.21,16
medium_load,95,17,6,0,,2.2,16
medium_load,96,19,4,0,,1.26,16
medium_load,97,20,7,0,,2.41,16
medium_load,98,23,6,0,,2.06,16
medium_load,99,26,4,12,10.083333333333334,5.79,16
medium_load,100,16,4,0,,1.58,17
medium_load,101,19,2,0,,1.45,17
medium_load,102,20,3,0,,1.79,17
medium_load,103,21,4,0,,1.88,17
medium_load,104,25,0,0,,1.5,17
medium_load,105,25,1,12,11.166666666666666,5.64,17
medium_load,106,25,1,0,,1.53,17
medium_load,107,25,5,0,,2.65,17
medium_load,108,15,3,0,,0.99,18
medium_load,109,18,2,0,,1.64,18
medium_load,110,19,4,0,,2.01,18
medium_load,111,20,4,12,11.5,5.43,18
medium_load,112,11,7,0,,2.37,19
medium_load,113,16,3,0,,1.3,19
medium_load,114,18,1,0,,1.11,19
medium_load,115,18,1,12,7.0,4.97,19
medium_load,116,19,2,0,,1.7,19
medium_load,117,19,2,0,,1.2,19
medium_load,118,7,4,0,,1.04,20
medium_load,119,10,1,0,,0.63,20
medium_load,120,11,1,0,,0.94,20
medium_load,121,12,4,0,,1.84,20
medium_load,122,13,4,0,,1.15,20
medium_load,123,14,7,12,8.666666666666666,5.91,20
medium_load,124,19,4,0,,1.76,20
medium_load,125,9,5,0,,1.44,21
medium_load,126,10,5,10,3.8,4.3,21
medium_load,127,12,5,0,,1.37,21
medium_load,128,5,3,0,,0.64,22
medium_load,129,6,3,6,3.6666666666666665,2.88,22
medium_load,130,2,1,0,,0.15,23
medium_load,131,2,3,0,,0.71,23
medium_load,132,4,8,0,,2.23,23
medium_load,133,7,7,0,,1.13,23
medium_load,134,10,5,0,,1.0,23
medium_load,135,15,1,0,,1.18,23
medium_load,136,16,2,0,,1.52,23
medium_load,137,18,0,0,,1.08,23
medium_load,138,18,1,0,,1.36,23
medium_load,139,18,3,12,8.166666666666666,5.53,23
medium_load,140,21,3,0,,2.1,23
medium_load,141,9,6,0,,1.47,24
medium_load,142,12,3,0,,0.81,24
medium_load,143,15,1,0,,1.18,24
medium_load,144,16,2,0,,1.52,24
medium_load,145,16,3,0,,1.3,24
